cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain,sic_bucket,device_evidence
815094,ABIOMED INC  (CIK 0000815094),3841.0,0001193125-13-067205,d490174d8k.htm,2013-02-20,2013-02-19,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815094/000119312513067205/d490174d8k.htm,item_anchored,2353,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
815094,ABIOMED INC  (CIK 0000815094),3841.0,0001193125-13-067205,d490174dex991.htm,2013-02-20,2013-02-19,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815094/000119312513067205/d490174dex991.htm,exhibit_top,1478,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
1142596,NUVASIVE INC  (CIK 0001142596),3841.0,0001193125-13-111300,d503614d8k.htm,2013-03-18,2013-03-13,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1142596/000119312513111300/d503614d8k.htm,item_anchored,2842,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True,device,text
1100441,"RTI SURGICAL, INC.  (CIK 0001100441)",3842.0,0001193125-13-403959,d614674dex991.htm,2013-10-18,2013-10-12,1.01; 8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1100441/000119312513403959/d614674dex991.htm,exhibit_top,5305,True,True,True,False,False,False,False,False,False,1,1,6,1,0,0,0,0,device,True,device,text
1116463,ORASURE TECHNOLOGIES INC  (OSUR)  (CIK 0001116463),3841.0,0001193125-13-453084,d637047dex991.htm,2013-11-25,2013-11-25,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1116463/000119312513453084/d637047dex991.htm,exhibit_top,6696,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
1116463,ORASURE TECHNOLOGIES INC  (OSUR)  (CIK 0001116463),3841.0,0001193125-14-003657,d654548d8k.htm,2014-01-07,2014-01-07,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1116463/000119312514003657/d654548d8k.htm,item_anchored,3005,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
1116463,ORASURE TECHNOLOGIES INC  (OSUR)  (CIK 0001116463),3841.0,0001193125-14-003657,d654548dex991.htm,2014-01-07,2014-01-07,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1116463/000119312514003657/d654548dex991.htm,exhibit_top,8379,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True,device,text
1438133,TANDEM DIABETES CARE INC  (TNDM)  (CIK 0001438133),3841.0,0001193125-14-008063,d658941dex991.htm,2014-01-10,2014-01-10,8.01; 9.01,"""product recall""; ""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1438133/000119312514008063/d658941dex991.htm,exhibit_top,4264,True,False,False,False,False,True,True,False,False,1,1,1,0,0,0,0,0,device,True,device,text
1438133,TANDEM DIABETES CARE INC  (TNDM)  (CIK 0001438133),3841.0,0001193125-14-016002,d660631dex991.htm,2014-01-21,2014-01-20,8.01; 9.01,"""product recall""; ""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1438133/000119312514016002/d660631dex991.htm,exhibit_top,6659,True,False,False,False,False,True,True,False,False,1,1,1,0,0,0,0,0,device,True,device,text
1389072,"HeartWare International, Inc.  (CIK 0001389072)",3841.0,0001193125-14-224699,d736322d8k.htm,2014-06-04,2014-06-04,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1389072/000119312514224699/d736322d8k.htm,item_anchored,2299,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
