normalized_name,firm_name_fda,gvkey,company_name_compustat,match_source,review_suggested,valid_from_year,valid_to_year,crosswalk_origin,source,n_records,match_status,n_gvkey_candidates,sic,costat,cik,cross_entity_family
SYMMETRY MEDICAL,"Symmetry Medical USA, Inc",160600.0,SYMMETRY MEDICAL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SUNRISE,Sunrise International Group,108397.0,SUNRISE INTL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SUMMER INFANT,"Summer Infant, Inc.",176874.0,SUMMER INFANT INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SUMITOMO CHEMICAL,"Sumitomo Chemical Co., Ltd.",100689.0,SUMITOMO CHEMICAL CO LTD,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
STRYKER,Stryker Corporation,10115.0,STRYKER CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
STERIS,Steris Corporation,25313.0,STERIS PLC,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
STAPLES,Staples Inc.,15521.0,STAPLES INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
STAAR SURGICAL,Staar Surgical Company,9969.0,STAAR SURGICAL CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
ST JUDE MEDICAL,St. Jude Medical,9372.0,ST JUDE MEDICAL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SPINAL ELEMENTS,"Spinal Elements, Inc",37043.0,SPINAL ELEME HOLDI INC -REDH,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SPECTRANETICS,Spectranetics Corporation,24853.0,SPECTRANETICS CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SOLTA MEDICAL,Solta Medical Inc,175913.0,SOLTA MEDICAL INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
SNYDER S LANCE,"Snyder's Lance, Inc.",6574.0,SNYDERS-LANCE INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SMITHKLINE BEECHAM,SmithKline Beecham Limited,14261.0,SMITHKLINE BEECHAM (UK) PLC,ct_fuzzy,False,1900,2099,letter_crosswalk,,,,,,,,
SMITH AND NEPHEW ORTHOPAEDICS,Smith & Nephew Orthopaedics GmbH,101317.0,SMITH & NEPHEW PLC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
JOHNSON AND JOHNSON PHARMACEUTICAL RESEARCH AND DEVELOPMENT,"Johnson & Johnson Pharmaceutical Research & Development, LLC",6266.0,JOHNSON & JOHNSON,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
J M SMUCKER,J.M. Smucker LLC,9777.0,SMUCKER (JM) CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BAXALTA,Baxalta US Inc.,22734.0,BAXALTA INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BIO RAD LABORATORIES,Bio-Rad Laboratories GmbH,2220.0,BIO-RAD LABORATORIES INC,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
BETA BIONICS,"Beta Bionics, Inc.",45785.0,BETA BIONICS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BEST VASCULAR,"Best Vascular, Inc",29378.0,BEST INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
BECTON DICKINSON AND,Becton Dickinson & Company,2111.0,BECTON DICKINSON & CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BECKMAN COULTER,"Beckman Coulter, Inc.",15106.0,BECKMAN COULTER INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BEBIDA BEVERAGE,Bebida Beverage Company,153669.0,BEBIDA BEVERAGE CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BAYER,Bayer AG,100080.0,BAYER AG,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BAUSCH HEALTH AMERICAS,"Bausch Health Americas, Inc.",29955.0,BAUSCH HEALTH COMPANIES INC,ct_override_windowed,False,1900,2099,letter_crosswalk,,,,,,,,
BIOGENIX,"Biogenix USA, LLC",2227.0,BIOGENIX INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BAUSCH AND LOMB,Bausch & Lomb Incorporated,40605.0,BAUSCH & LOMB CORP,ct_override_windowed,False,2022,2099,letter_crosswalk,,,,,,,,
BALCHEM,Balchem Corporation,1979.0,BALCHEM CORP  -CL B,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
BHP,BHP Holdings Inc,13312.0,BHP GROUP LTD,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
BABYLON,BABYLON INC,39938.0,BABYLON HOLDINGS LTD,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
AVANOS MEDICAL,"Avanos Medical, Inc.",21352.0,AVANOS MEDICAL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
ATRIUM,"Atrium, Inc.",137170.0,ATRIUM CO INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
ASAHI KASEI MEDICAL MT OITA WORKS,Asahi Kasei Medical MT Corp. Oita Works,100258.0,ASAHI KASEI CORP,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
