recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"Implant Direct Sybron Manufacturing, LLC",26,1,2015-10-28,2019-08-09,IMPLANT DIRECT SYBRON MANUFACTURING
"Alcon Research, Ltd.",26,1,2004-04-09,2017-06-30,ALCON RESEARCH
"ASP Global, LLC. dba Anatomy Supply Partners, LLC.",25,1,2025-05-05,2025-09-26,ASP GLOBAL ANATOMY SUPPLY PARTNERS
Axya Medical,25,1,2007-09-27,2007-09-27,AXYA MEDICAL
Radiometer Medical ApS Akandevej 21 Bronshoj Denmark,25,1,2018-02-27,2025-03-21,RADIOMETER MEDICAL APS AKANDEVEJ 21 BRONSHOJ DENMARK
"Ascent Healthcare Solutions, Inc.",25,1,2006-10-19,2010-06-23,ASCENT HEALTHCARE SOLUTIONS
J T Posey Company,25,1,2008-07-25,2012-10-31,J T POSEY
"Greiner Bio-One North America, Inc.",25,1,2006-08-02,2025-08-19,GREINER BIO ONE NORTH AMERICA
CAREFUSION,25,1,2021-06-09,2022-08-01,CAREFUSION
"Biomet U.K., Ltd. Waterton Industrial Estate Bridgend South Wales United Kingdom",25,1,2013-03-20,2016-01-05,BIOMET U K WATERTON INDUSTRIAL ESTATE BRIDGEND SOUTH WALES UNITED KINGDOM
BIOTRONIK Inc,25,1,2021-03-08,2021-03-08,BIOTRONIK
Stryker Communications Corp,25,1,2008-04-01,2011-11-07,STRYKER COMMUNICATIONS
Calbiotech Inc,24,1,2008-08-27,2008-08-27,CALBIOTECH
Tri-State Hospital Supply Corporation,24,1,2007-10-26,2009-01-14,TRI STATE HOSPITAL SUPPLY
RAYSEARCH LABORATORIES AB Sveavaegen 9 Stockholm Sweden,24,1,2011-05-30,2018-01-26,RAYSEARCH LABORATORIES SVEAVAEGEN 9 STOCKHOLM SWEDEN
"Tripath Imaging, Inc.",24,1,2011-10-06,2012-03-22,TRIPATH IMAGING
"Spacelabs Healthcare, Llc",24,1,2009-03-20,2014-02-14,SPACELABS HEALTHCARE
"GE Healthcare (China) Co., Ltd.
 1F-5F BLD 1, No.1 Tongji South Road, Beijing Economic-Technological Development Area
 Beijing China",24,1,2024-07-12,2025-01-31,GE HEALTHCARE CHINA 1F 5F BLD 1 NO 1 TONGJI SOUTH ROAD BEIJING ECONOMIC TECHNOLOGICAL DEVELOPMENT AREA BEIJING CHINA
Stryker Howmedica Osteonics,24,1,2002-12-02,2004-02-10,STRYKER HOWMEDICA OSTEONICS
Boston Scientific Neuromodulation Corporation,24,1,2010-03-19,2026-04-29,BOSTON SCIENTIFIC NEUROMODULATION
MAQUET Inc.,24,1,2006-05-23,2009-11-17,MAQUET
Terumo Medical Corporation,23,1,2010-06-08,2019-04-26,TERUMO MEDICAL
General Electric Med Systems LLC,23,1,2004-09-02,2007-03-26,GENERAL ELECTRIC MED SYSTEMS
Wilson-Cook Medical Inc.,23,1,2018-12-18,2026-03-03,WILSON COOK MEDICAL
Unomedical,23,1,2009-10-06,2009-10-06,UNOMEDICAL
Vygon Corporation,23,1,2003-04-09,2014-08-28,VYGON
"Cyberonics, Inc",23,1,2006-10-17,2017-12-02,CYBERONICS
Stryker Leibinger GmbH & Co. KG Botzinger Str. 41 Freiburg Im Breisgau Germany,23,1,2018-06-22,2024-04-04,STRYKER LEIBINGER AND KG BOTZINGER STR 41 FREIBURG IM BREISGAU GERMANY
"Carestream Health, Inc.",23,3,2007-03-06,2023-10-02,CARESTREAM HEALTH
CooperVision Inc.,23,1,2009-08-28,2021-05-19,COOPERVISION
"Microvention, Inc.",23,1,2017-08-07,2019-11-24,MICROVENTION
"Deroyal Industries, Inc. Lafollette",23,1,2011-02-07,2021-09-02,DEROYAL INDUSTRIES LAFOLLETTE
"Surgical Instrument Service And Savings, Inc.",22,1,2013-05-03,2013-05-03,SURGICAL INSTRUMENT SERVICE AND SAVINGS
Integra LifeSciences Corp. d.b.a. Integra Pain Management,22,1,2011-12-21,2016-08-24,INTEGRA LIFESCIENCES D B A INTEGRA PAIN MANAGEMENT
Invivo Corporation,22,2,2008-08-13,2020-09-14,INVIVO
"Windstone Medical, Inc.",22,1,2003-03-25,2003-03-25,WINDSTONE MEDICAL
"International Surgical Supply, Inc.",22,1,2003-09-03,2003-09-03,SURGICAL SUPPLY
"Philips Ultrasound, Inc.",22,1,2004-09-10,2024-03-23,PHILIPS ULTRASOUND
GE Healthcare Finland Oy Kuortaneenkatu 2 Helsinki Finland,22,1,2018-05-25,2025-09-26,GE HEALTHCARE FINLAND KUORTANEENKATU 2 HELSINKI FINLAND
Rochester Medical Corp,22,1,2009-01-14,2010-04-27,ROCHESTER MEDICAL
Aesculap Inc,22,1,2007-11-01,2026-01-15,AESCULAP
Integrated Medical Systems Inc,22,1,2016-01-20,2016-01-20,INTEGRATED MEDICAL SYSTEMS
Bard Access Systems Inc.,22,1,2017-04-25,2021-05-19,BARD ACCESS SYSTEMS
Meridian Bioscience Inc,22,1,2002-12-26,2025-12-05,MERIDIAN BIOSCIENCE
"Skytron, Div. The KMW Group, Inc",22,1,2005-08-04,2022-06-02,SKYTRON DIV KMW
"W L Gore & Associates, Inc.",22,1,2017-09-25,2026-05-19,W L GORE AND ASSOCIATES
"Aesculap, Inc.",22,1,2012-05-09,2015-11-30,AESCULAP
"Draeger, Inc.",21,1,2025-03-12,2026-05-07,DRAEGER
Qiagen Sciences LLC,21,1,2016-02-02,2025-03-12,QIAGEN SCIENCES
"Draeger Medical Systems, Inc.",21,2,2009-07-17,2025-01-14,DRAEGER MEDICAL SYSTEMS
"Medtronic Emergency Response Systems, Inc.",21,1,2005-01-15,2007-06-13,MEDTRONIC EMERGENCY RESPONSE SYSTEMS
Cincinnati Sub-Zero Products Inc,21,1,2005-01-18,2017-03-09,CINCINNATI SUB ZERO PRODUCTS
Waldemar Link GmbH & Co. KG (Corp. Hq.) Barkausenweg 10 Hamburg Germany,21,1,2013-07-16,2013-07-16,WALDEMAR LINK AND KG HQ BARKAUSENWEG 10 HAMBURG GERMANY
"Shanghai United Imaging Healthcare Co., Ltd.
 No. 2258 Chengbei Rd, Jiading Ind.
 Shanghai China",21,1,2019-07-30,2023-03-01,SHANGHAI UNITED IMAGING HEALTHCARE NO 2258 CHENGBEI RD JIADING IND SHANGHAI CHINA
Innovatech Medical Resources L.P.,21,1,2011-08-08,2011-08-08,INNOVATECH MEDICAL RESOURCES L P
"Ross Products Division, Abbott Laboratories",21,1,2003-11-14,2003-11-14,ROSS PRODUCTS DIVISION ABBOTT LABORATORIES
Corin Ltd Unit 1-57-8 Corinium Centre Cirencester United Kingdom,21,1,2021-01-25,2023-10-13,CORIN UNIT 1 57 8 CORINIUM CENTRE CIRENCESTER UNITED KINGDOM
Philips Healthcare,21,3,2014-01-13,2023-08-02,PHILIPS HEALTHCARE
Allergan PLC,21,1,2019-07-24,2020-12-29,ALLERGAN
"Megadyne Medical Products, Inc.",21,1,2009-10-13,2024-06-17,MEGADYNE MEDICAL PRODUCTS
"AROA Biosurgery, LTD.",21,1,2018-04-06,2018-04-06,AROA BIOSURGERY
"Biomet Microfixation, LLC",21,1,2010-04-26,2017-04-11,BIOMET MICROFIXATION
Stryker Communications,21,1,2007-10-03,2026-02-23,STRYKER COMMUNICATIONS
Civco Medical Instruments Co. Inc.,21,1,2015-10-21,2026-03-02,CIVCO MEDICAL INSTRUMENTS
Wilson-Cook Medical Inc,21,1,2002-01-08,2005-10-31,WILSON COOK MEDICAL
Zimmer Inc,20,1,2003-10-15,2003-10-15,ZIMMER
Progressive Medical Inc,20,1,2011-07-28,2013-04-12,PROGRESSIVE MEDICAL
"Polymer Technology Systems, Inc.",20,1,2008-05-29,2020-01-21,POLYMER TECHNOLOGY SYSTEMS
Greatbatch Medical,20,1,2009-09-01,2017-04-23,GREATBATCH MEDICAL
"Endotec, Inc.",20,1,2009-06-05,2011-09-21,ENDOTEC
Perkinelmer,20,1,2012-06-27,2015-12-08,PERKINELMER
"ICU Medical de Mexico, S.A. de C.V. Avenida Cuarzo 250 Ensenada Ejido Maneadero Mexico",20,1,2018-03-01,2018-03-01,ICU MEDICAL DE MEXICO S A DE C V AVENIDA CUARZO 250 ENSENADA EJIDO MANEADERO MEXICO
Tyber Medical,20,1,2025-01-21,2025-12-19,TYBER MEDICAL
"Davol, Inc., Subs. C. R. Bard, Inc.",20,1,2012-09-04,2014-10-08,DAVOL SUBS C R BARD
Medacta Usa Inc,20,1,2008-05-21,2026-04-30,MEDACTA
"Medtronic Vascular, Inc.",20,2,2012-02-21,2022-03-23,MEDTRONIC VASCULAR
Galt Medical Corporation,20,1,2014-07-25,2025-03-27,GALT MEDICAL
"Medical Action Industries, Inc.",20,1,2019-12-02,2026-03-17,MEDICAL ACTION INDUSTRIES
Stradis Healthcare,20,1,2022-04-22,2022-12-15,STRADIS HEALTHCARE
"Medtronic Navigation, Inc.-Littleton",20,1,2016-03-17,2024-04-26,MEDTRONIC NAVIGATION LITTLETON
GE Healthcare Integrated IT Solutions,20,1,2007-01-12,2009-09-25,GE HEALTHCARE INTEGRATED IT SOLUTIONS
Terumo Medical Corp,20,1,2015-11-23,2018-04-09,TERUMO MEDICAL
"GE Medical Systems China Co., Ltd. Dev. Zone National Hi-Tech; No.",20,1,2025-03-21,2025-11-14,GE MEDICAL SYSTEMS CHINA DEV ZONE NATIONAL HI TECH NO
Ciba Vision Corporation,20,1,2002-11-12,2010-04-27,CIBA VISION
"Ultradent Products, Inc.",20,1,2012-05-24,2026-01-28,ULTRADENT PRODUCTS
"Deerfield Imaging, Inc.",19,1,2018-02-20,2022-02-17,DEERFIELD IMAGING
Circaid Medical Products Inc,19,1,2010-04-20,2010-04-20,CIRCAID MEDICAL PRODUCTS
Ventlab Corporation,19,1,2003-04-15,2012-07-11,VENTLAB
"Hamilton Medical, Inc.",19,1,2013-09-26,2023-07-26,HAMILTON MEDICAL
Chattanooga Corp Inc,19,1,2007-12-17,2008-02-28,CHATTANOOGA
"Hill-Rom Manufacturing, Inc.",19,2,2002-01-14,2020-11-12,HILL ROM MANUFACTURING
"Tornier, Inc",19,1,2011-06-23,2026-03-05,TORNIER
Hardy Diagnostics,19,1,2015-03-04,2025-05-06,HARDY DIAGNOSTICS
Ge Healthcare,19,2,2006-06-23,2020-05-08,GE HEALTHCARE
SURGIFY MEDICAL OY Otakaari 5 I Espoo Finland,19,1,2026-04-30,2026-04-30,SURGIFY MEDICAL OTAKAARI 5 I ESPOO FINLAND
"Gambro Renal Products, Incorporated",19,1,2011-03-14,2014-07-18,GAMBRO RENAL PRODUCTS
"WalkMed Infusion, LLC",19,1,2014-02-17,2016-06-14,WALKMED INFUSION
"OriGen Biomedical, Inc.",19,1,2015-03-30,2023-12-19,ORIGEN BIOMEDICAL
Spacelabs Healthcare Inc,19,1,2014-05-08,2018-01-17,SPACELABS HEALTHCARE
Tenderneeds Fertility LLC,19,1,2020-12-23,2020-12-23,TENDERNEEDS FERTILITY
FUJIFILM Healthcare Americas Corporation,19,1,2022-07-12,2026-01-09,FUJIFILM HEALTHCARE AMERICAS
General Electric Med Systems,19,1,2002-11-21,2004-07-30,GENERAL ELECTRIC MED SYSTEMS
"Tecan US, Inc.",19,1,2013-02-19,2019-04-12,TECAN
BIOPSYBELL S.R.L. Via Aldo Manuzio N. 24 Via A.Manuzio n.24 Mirandola Italy,19,1,2021-03-22,2021-03-22,BIOPSYBELL S R L VIA ALDO MANUZIO N 24 VIA A MANUZIO N 24 MIRANDOLA ITALY
"SunMed Holdings, LLC",18,1,2022-09-08,2025-12-15,SUNMED
I.T.S. GmbH Autal 28 Lasnitzhohe Austria,18,1,2019-05-09,2026-01-23,I T S AUTAL 28 LASNITZHOHE AUSTRIA
BioCheck Inc,18,1,2010-07-15,2010-12-22,BIOCHECK
Synovis Surgical Inovation Div. of,18,1,2002-12-11,2011-10-26,SYNOVIS SURGICAL INOVATION DIV OF
"Tournier, Inc.",18,0,2008-10-20,2008-10-20,TOURNIER
"Stanley Security Solutions, Inc.",18,1,2009-11-25,2012-05-04,STANLEY SECURITY SOLUTIONS
Nidek Inc,18,1,2012-03-27,2017-02-01,NIDEK
Vance Products Incorporated,18,1,2007-06-29,2010-10-18,VANCE PRODUCTS
"Exact Medical Manufacturing, Inc.",18,1,2021-04-29,2021-04-29,EXACT MEDICAL MANUFACTURING
"AMO Puerto Rico Manufacturing, Inc.",18,1,2014-01-28,2014-05-13,AMO PUERTO RICO MANUFACTURING
"Genicon, Inc.",18,1,2017-07-19,2020-09-17,GENICON
"Genzyme Corporation, A Sanofi Company 175F New Boston",18,1,2013-06-21,2013-06-21,GENZYME A SANOFI 175F NEW BOSTON
American Contract Systems Inc.,18,1,2025-09-04,2025-09-04,AMERICAN CONTRACT SYSTEMS
Pacific Medical Group Inc.,18,1,2019-09-11,2021-03-24,PACIFIC MEDICAL
Olympus America Inc.,18,1,2007-09-20,2015-03-26,OLYMPUS AMERICA
Edan Diagnostics,18,1,2016-06-23,2025-10-24,EDAN DIAGNOSTICS
"Verathon, Inc.",18,1,2009-05-18,2024-04-29,VERATHON
Cell Marque Corporation,18,1,2011-07-12,2021-07-15,CELL MARQUE
"Custom Medical Specialties, Inc.",18,1,2011-09-30,2016-09-20,CUSTOM MEDICAL SPECIALTIES
Abbott,18,2,2018-11-19,2025-09-10,ABBOTT
TriMed Inc.,18,1,2018-01-11,2024-03-19,TRIMED
3M Healthcare Business,18,1,2022-10-06,2022-10-06,3M HEALTHCARE BUSINESS
Remington Medical Inc.,18,1,2005-02-15,2014-03-05,REMINGTON MEDICAL
"Defibtech, LLC",18,1,2007-02-17,2025-03-18,DEFIBTECH
"Orthovita, Inc., dBA Stryker Orthobiologics.",17,1,2012-11-10,2015-08-20,ORTHOVITA STRYKER ORTHOBIOLOGICS
"Advanced Medical Optics, Inc.",17,1,2005-06-13,2008-10-29,ADVANCED MEDICAL OPTICS
"Horiba Instruments, Inc dba Horiba Medical",17,1,2012-09-14,2018-04-26,HORIBA INSTRUMENTS HORIBA MEDICAL
Medical Action Industries Inc,17,1,2009-11-06,2019-03-01,MEDICAL ACTION INDUSTRIES
Abbott Gmbh & Co. KG Max-Planck-Ring 2 65205 Wiesbaden Germany,17,1,2017-12-14,2020-06-19,ABBOTT AND KG MAX PLANCK RING 2 65205 WIESBADEN GERMANY
Straumann USA LLC,17,2,2007-09-28,2026-03-27,STRAUMANN
Abbott Molecular,17,1,2005-10-28,2014-10-23,ABBOTT MOLECULAR
Abbott Medical Optics Inc. (AMO),17,1,2016-08-26,2017-04-01,ABBOTT MEDICAL OPTICS AMO
Welch Allyn Inc,17,2,2003-10-27,2021-07-20,WELCH ALLYN
"Kinetic Concepts, Inc",17,1,1997-06-01,2006-03-17,KINETIC CONCEPTS
"Datex-Ohmeda, Inc.",17,3,2003-10-29,2024-07-12,DATEX OHMEDA
Ad-Tech Medical Instrument Corporation,17,1,2012-12-18,2024-09-19,AD TECH MEDICAL INSTRUMENT
Premier Dental Products Co,17,1,2004-04-29,2025-02-27,PREMIER DENTAL PRODUCTS
Abbott Vascular-Cardiac Therapies dba Guidant Corporation,17,1,2006-12-05,2009-10-01,ABBOTT VASCULAR CARDIAC THERAPIES GUIDANT
Thomas Medical Products Inc,17,1,2004-06-11,2011-10-07,THOMAS MEDICAL PRODUCTS
Karl Storz Endoscopy America Inc,17,1,2009-06-01,2013-11-13,KARL STORZ ENDOSCOPY AMERICA
Plus Orthopedics USA,17,1,2003-06-30,2006-11-27,PLUS ORTHOPEDICS
"AMO Manufacturing USA, LLC",17,1,2010-07-13,2021-10-21,AMO MANUFACTURING
Civco Medical Instruments Inc,17,1,2008-01-16,2015-02-26,CIVCO MEDICAL INSTRUMENTS
"TEI Biosciences, Inc.",17,1,2023-05-23,2023-05-23,TEI BIOSCIENCES
Brainlab AG Kapellenstrasse 12 Feldkirchen Germany,16,1,2013-07-16,2015-08-18,BRAINLAB KAPELLENSTRASSE 12 FELDKIRCHEN GERMANY
Maquet Inc.,16,1,2009-10-22,2012-11-02,MAQUET
Alcon Research LLC,16,1,2018-07-25,2025-11-24,ALCON RESEARCH
"Onkos Surgical, Inc.",16,1,2017-05-23,2025-07-11,ONKOS SURGICAL
Abbott Spine,16,1,2005-11-02,2008-04-17,ABBOTT SPINE
"Welch Allyn Protocol, Inc",16,1,2003-12-31,2013-11-21,WELCH ALLYN PROTOCOL
Vitreq Bv Seggelant-Noord 2 Vierpolders Netherlands,16,1,2019-12-17,2019-12-17,VITREQ SEGGELANT NOORD 2 VIERPOLDERS NETHERLANDS
"Cook Biotech, Inc.",16,1,2002-12-13,2024-11-22,COOK BIOTECH
Ascent Healthcare Solutions,16,1,2009-01-26,2009-01-26,ASCENT HEALTHCARE SOLUTIONS
Cook Endoscopy,16,1,2006-01-05,2011-06-07,COOK ENDOSCOPY
Biotronik Inc,16,1,2003-02-21,2007-01-10,BIOTRONIK
"Bard Access Systems, Inc.",16,1,2022-06-20,2026-05-21,BARD ACCESS SYSTEMS
Flower Orthopedics Corporation,16,1,2015-02-16,2023-08-29,FLOWER ORTHOPEDICS
Keystone Dental Inc,16,1,2011-07-05,2019-02-22,KEYSTONE DENTAL
Ormco/Sybronendo,16,1,2011-12-12,2020-01-17,ORMCO SYBRONENDO
"Unomedical, Inc",16,1,2004-12-02,2004-12-02,UNOMEDICAL
"Bard Access Systems, Inc",16,1,2003-09-23,2006-04-06,BARD ACCESS SYSTEMS
"Magellan Diagnostics, Inc.",16,1,2014-11-29,2026-03-13,MAGELLAN DIAGNOSTICS
"OEC Medical Systems, Inc",16,1,2004-12-13,2008-08-29,OEC MEDICAL SYSTEMS
Zyno Medical LLC,16,1,2011-06-13,2025-05-07,ZYNO MEDICAL
Westmed Inc,16,1,2010-06-22,2011-01-18,WESTMED
Bovie Medical Corporation,15,1,2016-07-18,2021-02-01,BOVIE MEDICAL
General Electric Medical Systems Information Technology,15,1,2002-06-14,2009-09-25,GENERAL ELECTRIC MEDICAL SYSTEMS INFORMATION TECHNOLOGY
Quidel Corporation,15,3,2010-11-23,2026-04-06,QUIDEL
Richard-Allan Scientific Company,15,1,2011-08-12,2018-06-04,RICHARD ALLAN SCIENTIFIC
AM2 PAT INC,15,1,2007-12-11,2007-12-11,AM2 PAT
Vortex Surgical Inc.,15,1,2023-12-18,2025-12-16,VORTEX SURGICAL
"GE MEDICAL SYSTEMS ISRAEL, FUNCTIONAL IMAGING 9, Andrey Sakharov Haifa Israel",15,1,2025-09-12,2025-12-24,GE MEDICAL SYSTEMS ISRAEL FUNCTIONAL IMAGING 9 ANDREY SAKHAROV HAIFA ISRAEL
Zimmer Orthopaedic Surgical Products,15,2,2004-10-27,2007-12-18,ZIMMER ORTHOPAEDIC SURGICAL PRODUCTS
"KCI USA, INC.",15,1,2014-01-30,2025-01-17,KCI
"KCI USA, Inc.",15,2,2008-07-29,2014-09-18,KCI
Ziehm Imaging Inc,15,1,2011-04-29,2017-02-23,ZIEHM IMAGING
Mallinckrodt Inc,15,1,2006-11-07,2012-02-10,MALLINCKRODT
Waldemar Link GmbH & Co. KG (Mfg Site) Ost Str. 4-10 Norderstedt Germany,15,1,2026-01-12,2026-02-11,WALDEMAR LINK AND KG MFG SITE OST STR 4 10 NORDERSTEDT GERMANY
"Cardiac Assist, Inc",15,1,2010-12-02,2023-06-30,CARDIAC ASSIST
Ge Healthcare It,15,1,2010-02-11,2013-04-19,GE HEALTHCARE IT
"SPS Sterilization, Inc",15,1,2018-03-07,2018-03-07,SPS STERILIZATION
"BD Biosciences, Systems & Reagents",15,1,2007-09-07,2015-06-15,BD BIOSCIENCES SYSTEMS AND REAGENTS
B BRAUN MEDICAL INC,15,1,2025-07-09,2025-09-30,B BRAUN MEDICAL
Nextremity Solutions,15,1,2019-10-09,2022-02-10,NEXTREMITY SOLUTIONS
"Conmed Endoscopic Technologies, Inc.",15,1,2007-03-14,2007-04-16,CONMED ENDOSCOPIC TECHNOLOGIES
"Osteomed, LLC",15,1,2020-04-02,2023-05-31,OSTEOMED
Shippert Medical Technologies,15,1,2017-06-01,2018-02-02,SHIPPERT MEDICAL TECHNOLOGIES
Microtek Medical Inc,15,1,2010-05-25,2015-03-10,MICROTEK MEDICAL
"CIVCO Medical Instruments Co., Inc.",15,1,2018-11-02,2018-11-02,CIVCO MEDICAL INSTRUMENTS
Telefelx Medical,15,1,2007-10-31,2010-07-30,TELEFELX MEDICAL
Full Vision Inc,14,1,2022-08-31,2023-05-12,FULL VISION
Life Technologies Corporation,14,3,2011-11-14,2024-02-07,LIFE TECHNOLOGIES
"Abbott Diagnostic International, Ltd. 30 Bo Cruce Davila",14,1,2007-03-20,2007-05-31,ABBOTT DIAGNOSTIC 30 BO CRUCE DAVILA
"Abbott Health Products, Inc.",14,1,2002-12-11,2005-03-24,ABBOTT HEALTH PRODUCTS
Penner Mfg Inc,14,1,2009-01-19,2015-01-30,PENNER MFG
Osteotech Inc,14,1,2011-08-08,2012-04-20,OSTEOTECH
Beaver-Visitec International Inc.,14,1,2011-02-28,2018-02-26,BEAVER VISITEC
"MicroAire Surgical Instruments, LLC",14,1,2012-04-26,2025-05-07,MICROAIRE SURGICAL INSTRUMENTS
Diamedix Corporation,14,1,2003-09-11,2018-01-05,DIAMEDIX
Ecolab Inc,14,2,2013-07-02,2021-01-11,ECOLAB
Becton Dickinson Infusion Therapy,14,1,2003-04-04,2005-02-03,BECTON DICKINSON INFUSION THERAPY
Orthohelix Surgical Designs Inc,14,1,2005-11-01,2014-09-19,ORTHOHELIX SURGICAL DESIGNS
Becton Dickinson & Co. 7 Loveton Cir BD Diagnostic Systems,14,1,2014-05-21,2018-09-24,BECTON DICKINSON AND 7 LOVETON CIR BD DIAGNOSTIC SYSTEMS
Philips Ultrasound Inc,14,1,2019-04-29,2021-09-21,PHILIPS ULTRASOUND
"Micro Therapeutics Inc, Dba Ev3 Neurovascular",14,1,2011-09-23,2020-02-14,MICRO THERAPEUTICS EV3 NEUROVASCULAR
"Mevion Medical Systems, Inc.",14,1,2014-03-05,2022-02-01,MEVION MEDICAL SYSTEMS
"Sun Med, LLC",14,1,2018-05-24,2018-05-24,SUN MED
MICROVENTION INC.,14,1,2021-04-21,2026-04-06,MICROVENTION
"OraSure Technologies, Inc.",14,2,2008-09-08,2021-02-05,ORASURE TECHNOLOGIES
Siemens Medical Solutions Diagnostics,14,3,2007-01-15,2015-03-05,SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS
International Technidyne Corp.,14,1,2005-04-27,2012-09-28,TECHNIDYNE
Coltene Whaledent Inc,14,1,2013-12-11,2023-01-20,COLTENE WHALEDENT
American Contract Systems Jackson Pointe Commerce,14,1,2020-04-13,2020-04-13,AMERICAN CONTRACT SYSTEMS JACKSON POINTE COMMERCE
"Arrow International, Inc., Division of Teleflex Medical Inc.",14,1,2010-10-11,2016-02-10,ARROW DIVISION OF TELEFLEX MEDICAL
"Medex Cardio-Pulmonary Inc., d.b.a. Smiths Medical Company",14,1,2017-09-05,2017-09-05,MEDEX CARDIO PULMONARY D B A SMITHS MEDICAL
ArthroCare Corporation,14,1,2005-07-12,2020-08-17,ARTHROCARE
Med Tec Inc,14,1,2009-03-06,2020-05-12,MED TEC
"Spacelabs Healthcare, Incorporated",14,1,2007-01-03,2010-04-14,SPACELABS HEALTHCARE
Carefusion 211 Inc dba Carefusion,14,1,2013-09-05,2016-05-17,CAREFUSION 211 CAREFUSION
Gyrus ACMI Corporation,13,1,2007-02-19,2010-01-08,GYRUS ACMI
BD Diagnostic Systems,13,1,2004-10-20,2004-10-20,BD DIAGNOSTIC SYSTEMS
NeuroLogica Corporation,13,1,2015-09-14,2025-10-07,NEUROLOGICA
"Draegar Medical Systems, Inc.",13,1,2017-03-28,2022-03-04,DRAEGAR MEDICAL SYSTEMS
"Arrow International, Inc.",13,1,2009-02-02,2009-02-02,ARROW
Abbott Laboratories Medisense Products,13,1,2005-06-07,2005-06-07,ABBOTT LABORATORIES MEDISENSE PRODUCTS
"Advanced Bionics, LLC",13,1,2019-02-06,2026-04-30,ADVANCED BIONICS
Hamilton Co,13,1,2005-08-24,2021-01-15,HAMILTON
Abbott Laboratories Diagnostic Div,13,1,2002-07-31,2005-12-23,ABBOTT LABORATORIES DIAGNOSTIC DIV
Ohmeda Medical,13,1,2016-11-18,2018-10-05,OHMEDA MEDICAL
Superstat Corp,13,1,2012-10-24,2012-10-24,SUPERSTAT
"Alcon Laboratories, Inc",13,2,2002-11-18,2009-04-29,ALCON LABORATORIES
"Surge Medical Solutions, LLC",13,1,2007-04-17,2007-04-17,SURGE MEDICAL SOLUTIONS
Gulden Ophthalmics,13,1,2002-11-29,2002-11-29,GULDEN OPHTHALMICS
Siemens Medical Solutions USA Inc,13,1,2006-03-28,2007-07-23,SIEMENS MEDICAL SOLUTIONS
Fisher & Paykel Healthcare Inc,13,1,2003-12-05,2008-10-22,FISHER AND PAYKEL HEALTHCARE
"Biomet Spine, LLC",13,2,2011-12-19,2016-02-12,BIOMET SPINE
Dakocytomation California Inc,13,1,2005-09-29,2005-10-14,DAKOCYTOMATION CALIFORNIA
Ultracell Medical Technologies,13,1,2003-01-08,2003-01-08,ULTRACELL MEDICAL TECHNOLOGIES
"Unimed Surgical Products, Inc.",13,1,2009-08-28,2013-02-15,UNIMED SURGICAL PRODUCTS
Endologix Inc,13,1,2005-12-14,2013-05-13,ENDOLOGIX
Breg Inc,13,1,2013-01-14,2023-09-13,BREG
Medela Inc,13,1,2010-03-15,2026-06-05,MEDELA
Orthofix U.S. LLC,13,1,2025-02-20,2026-06-10,ORTHOFIX U S
"Sysmex America, Inc.",13,2,2009-06-23,2025-12-15,SYSMEX AMERICA
Alden Optical,13,1,2017-11-03,2018-07-03,ALDEN OPTICAL
"Trilliant Surgical, LLC",13,1,2018-07-19,2019-11-04,TRILLIANT SURGICAL
"C.R. Bard, Inc., Urological Division",13,1,2002-08-29,2012-09-07,C R BARD UROLOGICAL DIVISION
Accuray Inc,13,1,2007-03-21,2010-10-28,ACCURAY
"Augustine Temperature Management, LLC",13,1,2022-03-14,2024-12-16,AUGUSTINE TEMPERATURE MANAGEMENT
Access Scientific LLC,13,1,2020-04-23,2020-06-15,ACCESS SCIENTIFIC
"Carl Zeiss Meditec, Inc.",13,1,2011-07-01,2022-01-14,CARL ZEISS MEDITEC
Cypress Medical Products LLC,13,1,2011-11-15,2024-08-20,CYPRESS MEDICAL PRODUCTS
"Mentor Texas, Inc",13,1,2003-12-16,2008-08-22,MENTOR TEXAS
"Cytocell Ltd. 418 Cambridge Science Park, Milton Road Oxford Gene Technology Cambridge United Kingdom",13,1,2019-04-26,2023-05-24,CYTOCELL 418 CAMBRIDGE SCIENCE PARK MILTON ROAD OXFORD GENE TECHNOLOGY CAMBRIDGE UNITED KINGDOM
Synthes Spine,13,1,2008-11-07,2009-04-03,SYNTHES SPINE
Roche Insulin Delivery Systems Inc.,13,1,2011-02-24,2011-02-24,ROCHE INSULIN DELIVERY SYSTEMS
"CAS Medical Systems, Inc.",13,1,2004-05-24,2008-09-20,CAS MEDICAL SYSTEMS
Roche Molecular Systems Inc,13,2,2003-03-06,2005-02-14,ROCHE MOLECULAR SYSTEMS
Alpha Omega Services Inc,13,1,2006-02-21,2007-11-15,ALPHA OMEGA SERVICES
Smiths Medical Asd Inc,13,1,2007-11-21,2023-11-10,SMITHS MEDICAL ASD
"Smith & Nephew, Inc., Endoscopy Div.",12,1,2005-04-06,2015-09-10,SMITH AND NEPHEW ENDOSCOPY DIV
Nihon Kohden America Inc,12,1,2003-12-05,2024-09-18,NIHON KOHDEN AMERICA
Nipro Medical Corporation,12,1,2010-01-13,2025-10-27,NIPRO MEDICAL
"Symbios Medical Products, LLC",12,1,2013-02-25,2013-05-10,SYMBIOS MEDICAL PRODUCTS
