recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"DAYE (ANNE'S DAY LTD)
 Biscuit Factory Business Complex
 100 Drummond Road
 London United Kingdom",29,1,2025-02-17,2025-02-17,DAYE ANNE S DAY BISCUIT FACTORY BUSINESS COMPLEX 100 DRUMMOND ROAD LONDON UNITED KINGDOM
"The Binding Site Group, Ltd.",29,1,2012-10-09,2026-04-16,BINDING SITE
Abbott Point of Care Inc.,29,1,2006-12-12,2010-08-20,ABBOTT POINT OF CARE
"FHC, Inc.",29,1,2005-03-14,2024-10-04,FHC
Toshiba American Med Sys Inc,29,1,2003-01-14,2007-10-02,TOSHIBA AMERICAN MED SYS
"Roche Diabetes Care, Inc.",29,1,2014-10-30,2024-05-13,ROCHE DIABETES CARE
"Vascular Solutions, Inc.",28,1,2004-05-12,2020-08-31,VASCULAR SOLUTIONS
Pentax of America Inc,28,1,2011-01-11,2025-07-16,PENTAX OF AMERICA
Ortho Development Corporation,28,1,2002-12-26,2019-05-30,ORTHO DEVELOPMENT
Universal Meditech Inc.,28,1,2022-11-28,2023-05-22,UNIVERSAL MEDITECH
"Arthrex, Inc.",28,1,2015-12-17,2022-11-02,ARTHREX
Accuray Incorporated,28,2,2011-07-07,2026-06-16,ACCURAY
"Deltec, Inc",28,1,2003-03-14,2004-03-29,DELTEC
Zimmer Surgical Inc,28,1,2013-05-07,2026-06-09,ZIMMER SURGICAL
Boston Scientific Corporation One Boston,27,1,2005-08-10,2008-06-17,BOSTON SCIENTIFIC ONE BOSTON
"Regeneration Technologies, Inc.",27,1,2005-10-14,2005-10-14,REGENERATION TECHNOLOGIES
"Remel, Inc",27,1,2003-10-02,2026-06-03,REMEL
Ansell Healthcare Products LLC,27,3,2009-05-01,2023-08-03,ANSELL HEALTHCARE PRODUCTS
Volcano Corporation,27,1,2007-04-02,2022-01-19,VOLCANO
Lifescan Inc,27,1,2003-01-13,2013-03-11,LIFESCAN
"Smiths Medical Hythe Hythe, Kent United Kingdom",27,1,2009-08-25,2011-02-11,SMITHS MEDICAL HYTHE HYTHE KENT UNITED KINGDOM
Cardinal Health Inc.,27,2,2018-11-16,2021-03-16,CARDINAL HEALTH
Shimadzu Medical Systems,26,1,2011-10-28,2026-04-20,SHIMADZU MEDICAL SYSTEMS
"GE MEDICAL SYSTEMS ISRAEL, FUNCTIONAL IMAGING 4, Hayozma St Tirat Carmel Israel",26,1,2022-12-19,2025-12-10,GE MEDICAL SYSTEMS ISRAEL FUNCTIONAL IMAGING 4 HAYOZMA ST TIRAT CARMEL ISRAEL
OrthoPediatrics Corp,26,1,2012-06-14,2022-09-12,ORTHOPEDIATRICS
"Encision, Inc.",26,1,2003-01-15,2012-06-15,ENCISION
Philips Medical Systems Sales & Service Region No. America,26,1,2003-07-17,2005-02-16,PHILIPS MEDICAL SYSTEMS SALES AND SERVICE REGION NO AMERICA
Orthopediatrics Corp,26,1,2009-07-21,2009-07-21,ORTHOPEDIATRICS
