firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
Medical Depot Inc.,MEDICAL DEPOT,part806_recall,9,out_of_industry,,20551.0,MEDICAL DEPOT INC,6794.0,,,
"PROCTER & GAMBLE, INC.",PROCTER AND GAMBLE,part803_maude,9,out_of_industry,,8762.0,PROCTER & GAMBLE CO,2840.0,,,
CARDINAL HEALTH INC.,CARDINAL HEALTH,part803_maude,9,out_of_industry,,2751.0,CARDINAL HEALTH INC,5122.0,,,
WALMART,WALMART,part803_maude,8,out_of_industry,,11259.0,WALMART INC,5331.0,,,
Materialise USA LLC,MATERIALISE,part806_recall,8,out_of_industry,,20129.0,MATERIALISE NV,7372.0,,,
Impac Medical Systems Inc,IMPAC MEDICAL SYSTEMS,part806_recall,8,out_of_industry,,149092.0,IMPAC MEDICAL SYSTEMS INC,7372.0,,,
PROCTER & GAMBLE INC,PROCTER AND GAMBLE,part803_maude,8,out_of_industry,,8762.0,PROCTER & GAMBLE CO,2840.0,,,
CARDINAL HEALTH INC,CARDINAL HEALTH,part803_maude,8,out_of_industry,,2751.0,CARDINAL HEALTH INC,5122.0,,,
"US MEDICAL INNOVATIONS, LLC",MEDICAL INNOVATIONS,part803_maude,7,out_of_industry,,15852.0,MEDICAL INNOVATIONS INC,8082.0,,,
"HILL ROM CO, INC.",HILL ROM,part803_maude,7,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
FRESENIUS MEDICAL CARE USA,FRESENIUS MEDICAL CARE,part803_maude,7,out_of_industry,,212782.0,FRESENIUS MEDICAL CARE AG,8090.0,,,
Staar Surgical Co Inc,STAAR SURGICAL,part806_recall,7,out_of_industry,,9969.0,STAAR SURGICAL CO,3851.0,,,
MCKESSON CORP,MCKESSON,part803_maude,7,out_of_industry,,7171.0,MCKESSON CORP,5122.0,,,
HILL ROM INC,HILL ROM,part803_maude,7,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
BAYER AG,BAYER,part803_maude,7,out_of_industry,,100080.0,BAYER AG,2800.0,,,
Sunquest Information Systems,SUNQUEST INFORMATION SYSTEMS,part806_recall,7,out_of_industry,,62966.0,SUNQUEST INFORMATION SYS INC,7373.0,,,
EVENFLO,EVENFLO,part803_maude,6,out_of_industry,,146214.0,EVENFLO INC,3944.0,,,
BIO-RAD LABORATORIES INC,BIO RAD LABORATORIES,part803_maude,6,out_of_industry,,2220.0,BIO-RAD LABORATORIES INC,3826.0,,,
MEDLINE INDUSTRIES INC,MEDLINE INDUSTRIES,part806_recall,6,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
