sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
minerva neurosciences,020225,resolved,100.0,MINERVA NEUROSCIENCES INC,NERV,0001598646,14822
mineralys therapeutics,041916,resolved,100.0,MINERALYS THERAPEUTICS INC,MLYS,0001933414,23730
mimedx,178157,resolved,100.0,MIMEDX GROUP INC,MDXG,0001376339,13878
millennium pharmaceuticals,062784,resolved,100.0,MILLENNIUM PHARMACEUTICALS,MLNM,0001002637,83531
millendo therapeutics sas,034528,resolved,100.0,MILLENDO THERAPEUTICS INC,MLND,,13883
mesoblast,271607,resolved,100.0,MESOBLAST LTD,MESO,0001345099,15848
merus n v,026385,resolved,100.0,MERUS NV,MRUS,0001651311,16062
marker therapeutics,107843,resolved,100.0,MARKER THERAPEUTICS INC,MRKR,0001094038,16472
mast therapeutics,063790,resolved,100.0,MAST THERAPEUTICS,MSTX.1,,90101
matinas biopharma nanotechnologies,020756,resolved,100.0,MATINAS BIOPHARMA HLDGS INC,MTNB,0001582554,16613
mbx biosciences,050526,resolved,100.0,MBX BIOSCIENCES INC,MBX,0001776111,25628
medicenna therapeutics,032321,resolved,100.0,MEDICENNA THERAPEUTICS CORP,MDNAF,0001807983,19645
prokidney,034263,resolved,100.0,PROKIDNEY CORP,PROK,0001850270,21536
nabi biopharmaceuticals,007936,resolved,100.0,NABI BIOPHARMACEUTICALS-OLD,NABI.1,,57913
mediwound,019988,resolved,100.0,MEDIWOUND LTD,MDWD,0001593984,14546
medtronic cardiac ablation solutions,007228,resolved,100.0,MEDTRONIC PLC,MDT,0001613103,60097
medtronic mitg,007228,resolved,100.0,MEDTRONIC PLC,MDT,0001613103,60097
medtronic vascular,007228,resolved,100.0,MEDTRONIC PLC,MDT,0001613103,60097
merrimack pharmaceuticals,187631,resolved,100.0,MERRIMACK PHARMACEUTICALS,MACK,0001274792,13325
medivation,164266,resolved,100.0,MEDIVATION INC,MDVN,0001011835,91141
protagonist therapeutics,027670,resolved,100.0,PROTAGONIST THERAPEUTICS INC,PTGX,0001377121,16263
sanofi,101204,resolved,100.0,SANOFI,SNY,0001121404,89475
proteon therapeutics,021802,resolved,100.0,PROTEON THERAPEUTICS INC,PRTO,,15015
unicycive therapeutics,038867,resolved,100.0,UNICYCIVE THERAPEUTICS INC,UNCY,0001766140,21780
ultragenyx pharmaceutical,019149,resolved,100.0,ULTRAGENYX PHARMACEUTICAL,RARE,0001515673,14436
tyme,023337,resolved,100.0,TYME TECHNOLOGIES INC,TYME,0001537917,16834
tricida,033600,resolved,100.0,TRICIDA INC,TCDAQ,0001595585,17900
trevi therapeutics,035054,resolved,100.0,TREVI THERAPEUTICS INC,TRVI,0001563880,18677
trevena,018925,resolved,100.0,TREVENA INC,TRVN,0001429560,14442
traws pharma,018172,resolved,100.0,TRAWS PHARMA INC,TRAW,0001130598,14056
travere therapeutics,016848,resolved,100.0,TRAVERE THERAPEUTICS INC,TVTX,0001438533,14440
tranzyme,185945,resolved,100.0,TRANZYME INC,TZYM,,12698
transgene,108564,resolved,100.0,TRANSGENE SA,TRGNY,0001056910,85890
transcept pharmaceuticals,182383,resolved,100.0,TRANSCEPT PHARMACEUTICALS,TSPT,,91279
tracon pharmaceuticals,022697,resolved,100.0,TRACON PHARMACEUTICALS INC,TCON,0001394319,15184
torreypines therapeutics,175660,resolved,100.0,TORREYPINES THERAPEUTICS INC,TPTX.1,,88148
tonix pharmaceuticals,190856,resolved,100.0,TONIX PHARMACEUTICALS HLDG,TNXP,0001430306,14107
unity biotechnology,033317,resolved,100.0,UNITY BIOTECHNOLOGY INC,UBX,0001463361,17825
tobira therapeutics,021007,resolved,100.0,TOBIRA THERAPEUTICS INC,TBRA,0001311596,14101
threshold pharmaceuticals,160204,resolved,100.0,THRESHOLD PHARMACEUTICALS,THLD,,90604
theriva biologics,177764,resolved,100.0,THERIVA BIOLOGICS INC,TOVX,0000894158,92130
theravance biopharma,020233,resolved,100.0,THERAVANCE BIOPHARMA INC,TBPH,0001583107,14674
theratechnologies,029476,resolved,100.0,THERATECHNOLOGIES INC,THTX,0001512717,12890
therapeuticsmd,183322,resolved,100.0,THERAPEUTICSMD INC,TXMD,0000025743,13863
tg therapeutics,061711,resolved,100.0,TG THERAPEUTICS INC,TGTX,0001001316,82670
tff pharmaceuticals,035611,resolved,100.0,TFF PHARMACEUTICALS INC,TFFP,0001733413,19026
tetraphase pharmaceuticals,017350,resolved,100.0,TETRAPHASE PHARMACEUTICALS,TTPH,0001373707,13829
tesaro,170969,resolved,100.0,TESARO INC,TSRO,0001491576,13456
tenax therapeutics,027939,resolved,100.0,TENAX THERAPEUTICS INC,TENX,0000034956,93237
telix pharmaceuticals innovations pty,325899,resolved,100.0,TELIX PHARMACEUTICALS LTD,TLX,0002007191,25817
telik,138747,resolved,100.0,TELIK INC -OLD,TELK.1,,88572
tiziana life sciences,240066,resolved,100.0,TIZIANA LIFE SCIENCES LTD,TLSA,0001723069,22261
urogen pharma,031061,resolved,100.0,UROGEN PHARMA LTD,URGN,0001668243,16711
urovant sciences,033816,resolved,100.0,UROVANT SCIENCES LTD,UROV,0001740547,18130
vaccinex,033780,resolved,100.0,VACCINEX INC,VCNX,0001205922,18061
zs pharma,020611,resolved,100.0,ZS PHARMA INC,ZSPH,0001459266,14712
